Image URL,Item Name,MRP,Incl.GST,Margins
https://images-eu.ssl-images-amazon.com/images/I/41xOOcnAz4L._AA160_.jpg,Apsara Non Dust Jumbo Erasers - Pack of 20,100.00,75.00,33.33%
https://images-eu.ssl-images-amazon.com/images/I/419NG1zelFL._AA160_.jpg,Patanjali Dant Kanti Dental Cream - 100 g (Natural),42.00,37.34,12.48%
https://images-eu.ssl-images-amazon.com/images/I/41EG4keRD-L._AA160_.jpg,Disprin Tablets - 120 Count (DL Reqd) (MFR: RB),56.40,35.09,60.73%
https://images-eu.ssl-images-amazon.com/images/I/31KEbftSFgL._AA160_.jpg,Johnson's Baby Soap (75g),48.00,39.80,20.60%
https://images-eu.ssl-images-amazon.com/images/I/31CJhBeq8hL._AA160_.jpg,Belkin F3Y021bf15M High Speed HDMI Cable with Ethernet - 15 meter,"4,699.00","3,199.00",46.89%
https://images-eu.ssl-images-amazon.com/images/I/417LITts1yL._AA160_.jpg,"Classmate Notebook Soft Cover, 172 Pages, 190x155mm, Single Line [Pack of 12]",336.00,235.77,42.51%
https://images-eu.ssl-images-amazon.com/images/I/31nxZqfegfL._AA160_.jpg,"Parachute Advansed Aloe Vera Enriched Coconut Hair Oil, 150 ml",75.00,59.93,25.15%
https://images-eu.ssl-images-amazon.com/images/I/51gT91SKITL._AA160_.jpg,"Nescafe Sunrise, 2.2g [Pack of 144 + 12 sachets FREE]",288.00,264.21,9.00%
https://images-eu.ssl-images-amazon.com/images/I/51bwX578FYL._AA160_.jpg,"Pedigree Adult Dry Dog Food, Meat & Rice, 1.2kg Pack",250.00,208.08,20.15%
https://images-eu.ssl-images-amazon.com/images/I/51hQTzDRixL._AA160_.jpg,"Rin Advanced Bar, 150g [Pack of 12]",120.00,107.88,11.23%
https://images-eu.ssl-images-amazon.com/images/I/41KrMAOjLHL._AA160_.jpg,Eveready Base B22D 9-Watt LED Bulb (Cool Day White Light),150.00,75.00,100.00%
https://images-eu.ssl-images-amazon.com/images/I/5120i8cX-mL._AA160_.jpg,"Nestlé CERELAC Fortified Baby Cereal with Milk, Wheat Apple – From 6 Months, 300g BIB Pack",179.00,164.21,9.01%
https://images-eu.ssl-images-amazon.com/images/I/51U1jm2oeUL._AA160_.jpg,Hansaplast Lion Heat Plaster 4's Sheets,30.00,18.43,62.78%
https://images-eu.ssl-images-amazon.com/images/I/51JUo-T13AL._AA160_.jpg,"Godrej Expert Rich Crème, Natural Black, 20ml+20g [Pack of 8]",240.00,189.43,26.70%
https://images-eu.ssl-images-amazon.com/images/I/51VN66NqzbL._AA160_.jpg,Cello Top Ball Click Ball Pen - Count of 10 (Blue),100.00,76.50,30.72%
https://images-eu.ssl-images-amazon.com/images/I/51KPaQfTFZL._AA160_.jpg,"Britannia Marie Gold, 68g+15g=83g [Pack of 12]",120.00,106.92,12.23%
https://images-eu.ssl-images-amazon.com/images/I/51T9A7OgF0L._AA160_.jpg,Classmate Victor Geometry Box,80.00,58.80,36.05%
https://images-eu.ssl-images-amazon.com/images/I/51XZTjNywVL._AA160_.jpg,"Whiskas Adult (+1 year) Wet Cat Food, Ocean Fish, 85g Pouch",35.00,29.13,20.15%
https://images-eu.ssl-images-amazon.com/images/I/41q7jfLMl3L._AA160_.jpg,Apsara Platinum Pencil Value Pack - Pack of 20,95.00,67.72,40.28%
https://images-eu.ssl-images-amazon.com/images/I/31Spl1ucw0L._AA160_.jpg,Himalaya Herbals Baby Powder (100 gram),70.00,53.36,31.18%
